;Player;Age;Position;Height(Cm);Weight(Kg);Appearances;Mins;Goals;Assists;Yellow;Red;Shots per game;Pass success (%);Aerials Won;MotM;Rating;Image;Heat map
0;Karim Benzema;33;Forward;185;81;4;358;5;4;0;0;3.5;84.6;0.5;2;8.36;https://conteudo.imguol.com.br/c/esporte/46/2019/09/09/benzema-atacante-do-real-madrid-1568055703512_v2_300x300.png;https://drive.google.com/uc?id=171T8hJk_dBsCvB-V56l43ZR_t6KfP2pW
1;Vinícius Júnior;21;Forward;176;73;4;222;4;0;1;0;2.5;79.3;0.3;1;7.81;https://conteudo.imguol.com.br/c/esporte/fa/2019/09/09/vinicius-junior-atacante-do-real-madrid-1568055983491_v2_300x300.png;https://drive.google.com/uc?id=1DhlaOD0x0nUUGI0YFnftzF7pkgrIRFTd
2;Luka Modric;36;Midfielder;172;66;2;167;0;1;0;0;1;88.4;0;0;7.78;https://conteudo.imguol.com.br/c/esporte/c8/2019/09/09/modric-meio-campista-do-real-madrid-1568055120078_v2_300x300.png;https://drive.google.com/uc?id=1v4oiIY4tWrTrA39y1g4C81LNCnc2kKxP
3;Miguel Gutiérrez;20;Defender;180;68;2;172;0;1;1;0;0;92.8;0;0;7.5;https://conteudo.imguol.com.br/c/esporte/89/2020/09/19/miguel-gutierrez-defensor-do-real-madrid-1600548470976_v2_300x300.jpg;https://drive.google.com/uc?id=1NPn5CEA0cDyUHdXs8N4dQSZh12v2xuCX
4;Casemiro;29;Midfielder;185;84;4;360;0;1;1;0;0.8;83.5;2;0;7.37;https://conteudo.imguol.com.br/c/esporte/5d/2020/08/16/casemiro-meio-campista-do-real-madrid-1597585761431_v2_300x300.png;https://drive.google.com/uc?id=1DP_IPMQHfKqX7K4PhlDWGbgzPEKWrplT
5;Daniel Carvajal;29;Defender;173;73;3;205;1;0;0;0;0.7;86.7;0.3;1;7.17;https://conteudo.imguol.com.br/c/esporte/85/2019/09/09/carvajal-defensor-do-real-madrid-1568054621838_v2_300x300.png;https://drive.google.com/uc?id=1k-VeHMqEQPJidwCEKRGSvnjZku_tAnql
6;Eduardo Camavinga;18;Midfielder;182;68;1;24;1;0;0;0;1;89.3;0;0;7.16;https://conteudo.imguol.com.br/c/esporte/21/2021/09/11/eduardo-camavinga-meio-campista-do-real-madrid-1631389122938_v2_300x300.jpg;https://drive.google.com/uc?id=13DVm5rm8y9v2CgK6wvWDWpbvmjDaZiFo
7;Eden Hazard;30;Forward;175;74;4;203;0;1;1;0;1.5;92.9;0;0;6.91;https://conteudo.imguol.com.br/c/esporte/2c/2020/08/16/hazard-atacante-do-real-madrid-1597585504951_v2_300x300.png;https://drive.google.com/uc?id=1wHGlpPSan7GsCtw0imIUfoNIN1mVerTG
8;David Alaba;29;Defender;180;78;3;270;0;1;0;0;0.7;87.6;0;0;6.91;https://conteudo.imguol.com.br/c/esporte/bb/2021/08/04/alaba-defensor-do-real-madrid-1628088421238_v2_300x300.jpg;https://drive.google.com/uc?id=1x1DuQqXRjD76IK659ZyaOMvbBzxb9l4N
9;Federico Valverde;23;Midfielder;182;78;4;350;0;1;0;0;1.5;90.5;0.5;0;6.88;https://conteudo.imguol.com.br/c/esporte/f3/2019/09/09/valverde-meio-campista-do-real-madrid-1568055224877_v2_300x300.png;https://drive.google.com/uc?id=1EHd1aungZE5uGUvm82E2RuhPVnjQy4MV
10;Nacho;31;Defender;180;76;3;270;1;0;1;0;0.7;97.9;0.3;0;6.86;https://conteudo.imguol.com.br/c/esporte/dd/2021/08/04/nacho-defensor-do-real-madrid-1628088373860_v2_300x300.jpg;https://drive.google.com/uc?id=1XQE64_wbtaQSJMJ-peeF1vfkaAKsGLLH
11;Gareth Bale;32;Forward;185;81;3;193;1;0;1;0;2.3;72.3;1.3;0;6.77;https://conteudo.imguol.com.br/c/esporte/3e/2019/09/09/bale-atacante-do-real-madrid-1568055758286_v2_300x300.png;https://drive.google.com/uc?id=1kwYYjNAWkkxITzqccXrzQSv7gok1l4SJ
12;Isco;29;Midfielder;176;79;3;127;0;0;0;0;1.3;90.5;0.7;0;6.73;https://conteudo.imguol.com.br/c/esporte/87/2019/09/09/isco-meio-campista-do-real-madrid-1568055285254_v2_300x300.png;https://drive.google.com/uc?id=1twJNfrccaAYWodZj3b7XksbBmOyAtsOg
